albumName,Title,Artist
Legends: Rock On,Paradise by the Dashboard Light,Meat Loaf
Legends: Rock On,House Is Rockin',Stevie Ray Vaughn
Legends: Rock On,Rock On,David Essex
Legends: Rock On,Telephone Line,Electric Light Orchestra
Legends: Rock On,I'd Love To Change The World,Ten Years After
Legends: Rock On,Heart Full of Soul,The Yardbirds
Legends: Rock On,Oye Como Va,Santana
Legends: Rock On,Heard It In A Love Song,Marshall Tucker Band
Legends: Rock On,Surrender,Cheap Trick
Legends: Rock On,Mississippi Queen,Mountain
Legends: Rock On,Don't Look Back,Boston
Legends: Rock On,Keep on Loving You,REO Speedwagon 
Legends: Rock On,Carry On Wayward Son,Kansas
Legends: Rock On,Down on Me,Big Brother & The Holding Company
Legends: Rock On,So You Want to Be a Rock 'N' Roll Star,The Byrds
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Behind Closed Doors,Charlie Rich
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Kiss an Angel Good Mornin',Charley Pride
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Don't It Make My Brown Eyes Blue,Crystal Gayle
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,He'll Have to Go,Jim Reeves
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,By the Time I Get to Phoenix,Glen Campbell
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,There's No Getting Over Me,Ronnie Milsap
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Are You Lonesome Tonight?,Elvis Presley
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Blue Eyes Crying in the Rain,Willie Nelson
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,500 Miles from Home,Bobby Bare 
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Stand By Your Man,Tammy Wynette
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Islands In The Stream,Kenny Rogers & Dolly Parton
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Is It Really Over?,Jim Reeves
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Amanda,Waylon Jennings
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Does My Ring Hurt Your Finger,Charlie Pride
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,I Will Always Love You,Dolly Parton
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,He'll Have to Go,Jim Reeves
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Singing the Blues,Marty Robbins
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Love Me Tender,Elvis Presley
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Just Between You and Me,Charley Pride
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,You Don't Know Me,Eddy Arnold
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Annie's Song,John Denver
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Can't Help Falling in Love,Elvis Presley with the Jordanaires
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Georgia on My Mind,Willie Nelson
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Almost Persuaded,David Houston
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,For the Good Times,Ray Price
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Near You,George Jones & Tammy Wynette
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Behind Closed Doors,Charlie Rich
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Delta Dawn,Tanya Tucker  
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Welcome to My World,Jim Reeves
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Crying in the Chapel,Elvis Presley
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Just Someone I Used to Know,Porter Wagoner & Dolly Parton
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,"My Woman, My Woman, My Wife",Marty Robbins
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,The End of the World,Skeeter Davis
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,The Three Bells (Les Trois Cloches),The Browns
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Blue Skies,Willie Nelson
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Walkin' After Midnight,Patsy Cline
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Tender Years,George Jones
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Georgia on My Mind,Ray Charles
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Don't It Make My Brown Eyes Blue,Crystal Gayle
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,You Decorated My Life,Kenny Rogers and Lionel Richie
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,If You Love Me (Let Me Know),Olivia Newton-John
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,I Believe In You,Don Williams
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Hello Walls,Faron Young
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,I'd Love To Lay You Down,Conway Twitty
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Today I Started Loving You Again,Merle Haggard & the Strangers
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Still,Bill Anderson
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Galveston,Glen Campbell
